Sl.No,Course Code,Course Name,AS,AA,AB,BB,BC,CC,CD,DD,FA,FD,FP,I,NP,PP,Grand Total,HoD,Hardcopy Received
258,DD 547,Design for Environmental Sustainability,0,2,15,7,0,0,0,1,0,0,0,0,0,0,25,Forwarded,No
259,DD 548,Embodiment Design,0,6,5,9,3,2,1,0,0,0,0,0,0,0,26,Forwarded,No
260,DD 549,Systems thinking,0,3,18,4,0,0,0,0,0,0,0,0,0,2,27,Forwarded,No
261,DD 552,Design of Embedded Systems,1,4,9,8,5,0,0,0,0,0,0,0,0,1,28,Forwarded,No
262,DD 554,Pattern Recognition and Machine Learning,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,Forwarded,No
263,DD 558,Design for Social Innovation,1,12,9,9,5,3,2,1,0,0,0,0,0,2,44,Forwarded,No
264,DD 559,Design for Additive Manufacturing (DfAM),0,8,11,14,11,5,0,0,0,0,0,0,0,1,50,Forwarded,No
265,DD 606,Product Detailing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Forwarded,No
266,DD 710,Research-based Project,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Forwarded,No
267,DM 503,Hazards monitoring and prediction,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,Not Processed,No
268,DM 504,Research methodology and field visit,0,2,0,1,0,0,0,0,0,0,0,0,0,1,4,Not Processed,Yes
269,DM 514,Financing for Disaster Risk Reduction (DRR),0,5,1,2,7,0,0,0,0,0,0,0,0,0,15,Not Processed,Yes
270,DM 697,Project Phase 1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Not Processed,Yes
271,EE 102,Basic Electronics Lab,0,350,442,162,22,11,2,0,3,0,0,0,0,0,992,Forwarded,Yes
272,EE 206,Analog Circuits,0,9,35,41,37,25,17,17,0,0,3,0,1,0,185,Forwarded,Yes
273,EE 207,Analog Circuits Laboratory,0,29,58,50,24,19,5,0,0,0,0,0,0,0,185,Forwarded,Yes
274,EE 213M,Digital Circuits,0,1,6,9,7,4,0,0,0,0,0,0,0,0,27,Forwarded,Yes
275,EE 230,Probability and Random Processes,1,32,22,38,39,25,19,4,0,0,5,0,0,0,185,Forwarded,Yes
276,EE 250,Control Systems,0,31,56,23,23,16,14,10,1,0,12,0,0,0,186,Forwarded,Yes
